Ticker,Role,Ann Return,Ann Vol,Sharpe,momentum_12_1,value,quality,growth,composite,ML Pred Ret,ML Rank,Combined Rank,Weight,Market Beta
GEVO,LONG,-8.4%,93.0%,-0.14,0.92,,1.13,1.63,0.86,0.0039646886,15,8.0,+nan%,2.79
CHPT,SHORT,-64.3%,81.7%,-0.85,-1.63,,-1.45,0.07,-0.68,0.00079417514,16,19.5,+nan%,1.57
BE,SHORT,64.4%,86.3%,0.69,1.63,-1.28,-1.29,0.92,-0.18,-0.018673806,22,19.0,+nan%,1.40
RUN,SHORT,-10.0%,94.8%,-0.16,0.64,-1.03,-1.13,1.48,0.03,0.085218966,1,5.5,+nan%,2.89
ARRY,SHORT,1.6%,82.2%,-0.04,0.35,0.26,-0.97,-0.92,-0.19,0.07077407,3,10.0,+nan%,1.91
HYLN,SHORT,-15.2%,88.0%,-0.23,-0.21,,1.45,-1.63,-0.48,-0.005024082,18,19.5,+nan%,1.69
RIVN,SHORT,-17.7%,73.8%,-0.31,-0.07,,-0.32,-1.2,-0.25,0.03868739,6,12.5,+nan%,2.01
LCID,SHORT,-53.5%,79.6%,-0.73,-1.48,,-0.16,1.34,-0.27,0.015490313,10,15.0,+nan%,1.92
GOEV,SHORT,-89.4%,117.3%,-0.80,-0.35,,0.16,1.2,-0.24,-0.015837844,21,19.5,+nan%,1.82
ALTO,SHORT,-4.9%,83.2%,-0.12,1.48,-0.51,1.29,-0.35,0.36,0.038572315,7,7.0,+nan%,2.17
REI,SHORT,-24.2%,57.5%,-0.51,0.49,0.77,0.81,-1.06,0.58,0.0063146004,12,7.0,+nan%,2.27
PARR,SHORT,43.0%,48.9%,0.78,1.2,-0.26,0.97,-0.21,0.54,0.07792792,2,2.5,+nan%,1.93
PDM,SHORT,-16.5%,38.1%,-0.56,0.07,,0.0,-0.07,0.39,-0.024190681,23,14.0,+nan%,2.46
VNO,SHORT,-7.9%,44.2%,-0.29,-0.92,-1.54,0.48,-0.78,-0.08,-0.0066125956,19,15.5,+nan%,2.66
CLPR,SHORT,-18.4%,49.4%,-0.47,-0.64,1.03,,-0.64,0.37,-0.009210024,20,13.0,+nan%,1.66
BBWI,SHORT,-22.0%,52.0%,-0.52,-1.2,1.28,,-0.49,0.08,0.0055606454,13,11.0,+nan%,2.08
AFRM,SHORT,10.3%,93.2%,0.06,-0.78,0.0,-0.81,0.64,-0.04,0.021670468,9,10.0,+nan%,3.79
UPST,SHORT,-24.8%,104.9%,-0.28,-1.34,0.51,-0.64,0.78,-0.11,-0.02485491,24,19.5,+nan%,3.30
BBAI,SHORT,-24.3%,182.2%,-0.16,-0.49,,0.32,-1.48,-0.74,0.04769148,5,14.5,+nan%,-0.20
SOUN,SHORT,-2.2%,138.5%,-0.05,-1.06,,1.61,1.06,-0.1,-0.0015087305,17,15.5,+nan%,1.27
PACB,SHORT,-33.7%,98.4%,-0.39,0.21,,-1.61,0.21,-0.49,0.0049250447,14,18.0,+nan%,2.80
GPRE,SHORT,-13.6%,61.2%,-0.30,1.34,-0.77,0.64,-1.34,0.13,0.050694082,4,6.0,+nan%,2.60
PLUG,SHORT,-44.0%,98.8%,-0.50,0.78,,-0.48,0.49,-0.09,0.014472431,11,12.0,+nan%,2.12
AMTX,SHORT,-24.7%,97.7%,-0.30,1.06,1.54,,0.35,0.43,0.03209986,8,6.0,+nan%,2.37
